cha_labels,F:\UCLH_GLAS\icEEG\1106\X611_1\Patient8_LTM-FEBRUARY_t5_06302012102955\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_10\Patient11_LTM-FEBRUARY_t9_06162012171011\Patient11_LTM-FEBRUARY_t9_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_3.edf,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_4.edf,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_5.edf,F:\UCLH_GLAS\icEEG\1106\X611_12\Pruned_06302012145618\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_12\Pruned_06302012145618\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_13\Patient11_LTM-FEBRUARY_t2_06302012175025\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_14\Patient11_LTM-FEBRUARY_t3_06302012180617\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_15\Patient8_LTM-FEBRUARY_t8_06142012041449\Patient8_LTM-FEBRUARY_t8_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_16\Patient11_LTM-FEBRUARY_t11_06302012185107\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_17\Patient11_LTM-FEBRUARY_t10_06302012184948\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_18\Patient11_LTM-FEBRUARY_t8_06302012184431\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_19\Patient11_LTM-FEBRUARY_t1_06302012162550\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_2\Patient8_LTM-FEBRUARY_t3_06282012112456\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_20\Patient8_LTM-FEBRUARY_t1_07012012132909\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_20\Patient8_LTM-FEBRUARY_t1_07012012132909\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_20\Patient8_LTM-FEBRUARY_t1_07012012132909\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1106\X611_20\Patient8_LTM-FEBRUARY_t1_07012012132909\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1106\X611_21\Pruned_07012012120249\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_21\Pruned_07012012120249\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_21\Pruned_07012012120249\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1106\X611_21\Pruned_07012012120249\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1106\X611_22\Patient11_LTM-FEBRUARY_t6_06302012183959\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_22\Pruned_07012012100722\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_23\Patient8_LTM-FEBRUARY_t2_07012012134635\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_24\Patient11_LTM-FEBRUARY_t4_06302012181123\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_25\Patient11_LTM-FEBRUARY_t7_06162012050940\Patient11_LTM-FEBRUARY_t7_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_3\Patient8_LTM-FEBRUARY_t4_06282012125048\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_4\Patient8_LTM-FEBRUARY_t7_06302012124111\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_10.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_11.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_6.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_8.edf,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_9.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient11_LTM-NOVEMBER_t1_06182012152502\Patient11_LTM-NOVEMBER_t1_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient11_LTM-NOVEMBER_t1_06182012152502\Patient11_LTM-NOVEMBER_t1_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_2.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_4.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_5.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_7.edf,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_9.edf,F:\UCLH_GLAS\icEEG\1106\X611_7\Patient8_LTM-FEBRUARY_t2_06122012161314\Patient8_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_8\Pruned_06302012150826\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_9\Patient11_LTM-FEBRUARY_t5_06152012170852\Patient11_LTM-FEBRUARY_t5_1.edf,F:\UCLH_GLAS\icEEG\1106\X611_labelledAs23ButMayBe22\Pruned_07012012100722\Pruned_1.edf
GB 28,GB 28,GB 28,GB 28,,GB 28,,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,,GB 28,GB 28,,,,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,GB 28,,GB 28,,GB 28,,,,GB 28,,,GB 28,GB 28,GB 28,,,,GB 28,GB 28,GB 28,GB 28
GB 29,GB 29,GB 29,GB 29,,GB 29,,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,,GB 29,GB 29,,,,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,GB 29,,GB 29,,GB 29,,,,GB 29,,,GB 29,GB 29,GB 29,,,,GB 29,GB 29,GB 29,GB 29
GB 30,GB 30,GB 30,GB 30,,GB 30,,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,,GB 30,GB 30,,,,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,GB 30,,GB 30,,GB 30,,,,GB 30,,,GB 30,GB 30,GB 30,,,,GB 30,GB 30,GB 30,GB 30
GB 31,GB 31,GB 31,GB 31,,GB 31,,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,,GB 31,GB 31,,,,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,GB 31,,GB 31,,GB 31,,,,GB 31,,,GB 31,GB 31,GB 31,,,,GB 31,GB 31,GB 31,GB 31
GB 32,GB 32,GB 32,GB 32,,GB 32,,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,,GB 32,GB 32,,,,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,GB 32,,GB 32,,GB 32,,,,GB 32,,,GB 32,GB 32,GB 32,,,,GB 32,GB 32,GB 32,GB 32
GC 01,GC 01,GC 01,GC 01,,GC 01,,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,,GC 01,GC 01,,,,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,GC 01,,GC 01,,GC 01,,,,GC 01,,,GC 01,GC 01,GC 01,,,,GC 01,GC 01,GC 01,GC 01
GC 02,GC 02,GC 02,GC 02,,GC 02,,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,,GC 02,GC 02,,,,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,GC 02,,GC 02,,GC 02,,,,GC 02,,,GC 02,GC 02,GC 02,,,,GC 02,GC 02,GC 02,GC 02
GC 03,GC 03,GC 03,GC 03,,GC 03,,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,,GC 03,GC 03,,,,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,GC 03,,GC 03,,GC 03,,,,GC 03,,,GC 03,GC 03,GC 03,,,,GC 03,GC 03,GC 03,GC 03
GC 04,GC 04,GC 04,GC 04,,GC 04,,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,,GC 04,GC 04,,,,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,GC 04,,GC 04,,GC 04,,,,GC 04,,,GC 04,GC 04,GC 04,,,,GC 04,GC 04,GC 04,GC 04
GC 05,GC 05,GC 05,GC 05,,GC 05,,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,,GC 05,GC 05,,,,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,GC 05,,GC 05,,GC 05,,,,GC 05,,,GC 05,GC 05,GC 05,,,,GC 05,GC 05,GC 05,GC 05
GC 06,GC 06,GC 06,GC 06,,GC 06,,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,,GC 06,GC 06,,,,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,GC 06,,GC 06,,GC 06,,,,GC 06,,,GC 06,GC 06,GC 06,,,,GC 06,GC 06,GC 06,GC 06
GC 07,GC 07,GC 07,GC 07,,GC 07,,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,,GC 07,GC 07,,,,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,GC 07,,GC 07,,GC 07,,,,GC 07,,,GC 07,GC 07,GC 07,,,,GC 07,GC 07,GC 07,GC 07
GC 08,GC 08,GC 08,GC 08,,GC 08,,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,,GC 08,GC 08,,,,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,GC 08,,GC 08,,GC 08,,,,GC 08,,,GC 08,GC 08,GC 08,,,,GC 08,GC 08,GC 08,GC 08
GC 09,GC 09,GC 09,GC 09,,GC 09,,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,,GC 09,GC 09,,,,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,GC 09,,GC 09,,GC 09,,,,GC 09,,,GC 09,GC 09,GC 09,,,,GC 09,GC 09,GC 09,GC 09
GC 10,GC 10,GC 10,GC 10,,GC 10,,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,,GC 10,GC 10,,,,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,GC 10,,GC 10,,GC 10,,,,GC 10,,,GC 10,GC 10,GC 10,,,,GC 10,GC 10,GC 10,GC 10
GC 11,GC 11,GC 11,GC 11,,GC 11,,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,,GC 11,GC 11,,,,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,GC 11,,GC 11,,GC 11,,,,GC 11,,,GC 11,GC 11,GC 11,,,,GC 11,GC 11,GC 11,GC 11
GC 12,GC 12,GC 12,GC 12,,GC 12,,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,,GC 12,GC 12,,,,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,GC 12,,GC 12,,GC 12,,,,GC 12,,,GC 12,GC 12,GC 12,,,,GC 12,GC 12,GC 12,GC 12
