cha_labels,F:\UCLH_GLAS\icEEG\1149\X889_1\Patient24_LTM-FEBRUARY_t1_02042013191735\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_1\Patient24_LTM-FEBRUARY_t1_02042013191735\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_1\Patient24_LTM-FEBRUARY_t1_02042013191735\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1149\X889_10\Patient25_LTM-FEBRUARY_t1_12112012175710\Patient25_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_10\Patient25_LTM-FEBRUARY_t2_12112012235741\Patient25_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_11\Patient25_LTM-FEBRUARY_t1_12132012101046\Patient25_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_11\Pruned_04162013133056\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_12\Pruned_04162013134646\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_10.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_11.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_12.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_13.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_14.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_6.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_7.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_8.edf,F:\UCLH_GLAS\icEEG\1149\X889_13\Pruned_04162013144150\Pruned_9.edf,F:\UCLH_GLAS\icEEG\1149\X889_14\Pruned_04162013155301\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1149\X889_16\Patient25_LTM-FEBRUARY_t2_04152013161615\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_6.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_7.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t5_12142012101251\Patient25_LTM-FEBRUARY_t5_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t5_12142012101251\Patient25_LTM-FEBRUARY_t5_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t5_12142012101251\Patient25_LTM-FEBRUARY_t5_3.edf,F:\UCLH_GLAS\icEEG\1149\X889_18\Patient25_LTM-FEBRUARY_t4_04162013085953\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_19\Patient25_LTM-FEBRUARY_t6_04152013165219\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_2\Patient24_LTM-FEBRUARY_t2_12092012195816\Patient24_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_2\Patient24_LTM-FEBRUARY_t6_12102012195910\Patient24_LTM-FEBRUARY_t6_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_20\Patient25_LTM-FEBRUARY_t7_04152013172930\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_21\Patient25_LTM-FEBRUARY_t8_04152013184104\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_3\Patient24_LTM-FEBRUARY_t3_02052013090447\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_3\Patient24_LTM-FEBRUARY_t3_02052013090447\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_3\Patient24_LTM-FEBRUARY_t3_02052013090447\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1149\X889_6\Patient24_LTM-FEBRUARY_t7_04102013142939\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_6\Patient25_LTM-FEBRUARY_t7_01252013085109\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_7\Pruned_04122013123826\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_8\Pruned_04122013145519\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1149\X889_9\Pruned_04122013164657\Pruned_1.edf
A 26,A 26,,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,,A 26,,A 26,A 26,,,A 26,,A 26,A 26,,A 26,A 26,A 26,A 26,A 26,A 26,A 26,A 26,,A 26,A 26,,,A 26,A 26,,,A 26,A 26,A 26,A 26,A 26,A 26
A 27,A 27,,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,A 27,,A 27,,A 27,A 27,,,A 27,,A 27,A 27,,,A 27,,A 27,A 27,,,A 27,,A 27,A 27,,,A 27,A 27,,,A 27,A 27,,A 27,A 27,A 27
A 28,A 28,,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,A 28,,A 28,,A 28,A 28,,,A 28,,A 28,A 28,,,A 28,,A 28,A 28,,,A 28,,A 28,A 28,,,A 28,A 28,,,A 28,A 28,,A 28,A 28,A 28
A 29,A 29,,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,,A 29,,A 29,A 29,,,A 29,,A 29,A 29,,A 29,A 29,A 29,A 29,A 29,A 29,A 29,A 29,,A 29,A 29,,,A 29,A 29,,,A 29,A 29,A 29,A 29,A 29,A 29
A 30,A 30,,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,,A 30,,A 30,A 30,,,A 30,,A 30,A 30,,A 30,A 30,A 30,A 30,A 30,A 30,A 30,A 30,,A 30,A 30,,,A 30,A 30,,,A 30,A 30,A 30,A 30,A 30,A 30
A 31,A 31,,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,A 31,,A 31,,A 31,A 31,,,A 31,,A 31,A 31,,,A 31,,A 31,A 31,,,A 31,,A 31,A 31,,,A 31,A 31,,,A 31,A 31,,A 31,A 31,A 31
A 32,A 32,,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,A 32,,A 32,,A 32,A 32,,,A 32,,A 32,A 32,,,A 32,,A 32,A 32,,,A 32,,A 32,A 32,,,A 32,A 32,,,A 32,A 32,,A 32,A 32,A 32
A 33,A 33,,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,,A 33,,A 33,A 33,,,A 33,,A 33,A 33,,A 33,A 33,A 33,A 33,A 33,A 33,A 33,A 33,,A 33,A 33,,,A 33,A 33,,,A 33,A 33,A 33,A 33,A 33,A 33
A 34,A 34,,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,A 34,,A 34,,A 34,A 34,,,A 34,,A 34,A 34,,,A 34,,A 34,A 34,,,A 34,,A 34,A 34,,,A 34,A 34,,,A 34,A 34,,A 34,A 34,A 34
A 35,A 35,,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,A 35,,A 35,,A 35,A 35,,,A 35,,A 35,A 35,,,A 35,,A 35,A 35,,,A 35,,A 35,A 35,,,A 35,A 35,,,A 35,A 35,,A 35,A 35,A 35
A 36,A 36,,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,A 36,,A 36,,A 36,A 36,,,A 36,,A 36,A 36,,,A 36,,A 36,A 36,,,A 36,,A 36,A 36,,,A 36,A 36,,,A 36,A 36,,A 36,A 36,A 36
A 37,A 37,,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,,A 37,,A 37,A 37,,,A 37,,A 37,A 37,,A 37,A 37,A 37,A 37,A 37,A 37,A 37,A 37,,A 37,A 37,,,A 37,A 37,,,A 37,A 37,A 37,A 37,A 37,A 37
A 38,A 38,,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,,A 38,,A 38,A 38,,,A 38,,A 38,A 38,,A 38,A 38,A 38,A 38,A 38,A 38,A 38,A 38,,A 38,A 38,,,A 38,A 38,,,A 38,A 38,A 38,A 38,A 38,A 38
A 39,A 39,,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,,A 39,,A 39,A 39,,,A 39,,A 39,A 39,,A 39,A 39,A 39,A 39,A 39,A 39,A 39,A 39,,A 39,A 39,,,A 39,A 39,,,A 39,A 39,A 39,A 39,A 39,A 39
A 40,A 40,,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,,A 40,,A 40,A 40,,,A 40,,A 40,A 40,,A 40,A 40,A 40,A 40,A 40,A 40,A 40,A 40,,A 40,A 40,,,A 40,A 40,,,A 40,A 40,A 40,A 40,A 40,A 40
A 41,A 41,,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,,A 41,,A 41,A 41,,,A 41,,A 41,A 41,,A 41,A 41,A 41,A 41,A 41,A 41,A 41,A 41,,A 41,A 41,,,A 41,A 41,,,A 41,A 41,A 41,A 41,A 41,A 41
A 42,A 42,,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,,A 42,,A 42,A 42,,,A 42,,A 42,A 42,,A 42,A 42,A 42,A 42,A 42,A 42,A 42,A 42,,A 42,A 42,,,A 42,A 42,,,A 42,A 42,A 42,A 42,A 42,A 42
A 43,A 43,,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,A 43,,A 43,,A 43,A 43,,,A 43,,A 43,A 43,,,A 43,,A 43,A 43,,,A 43,,A 43,A 43,,,A 43,A 43,,,A 43,A 43,,A 43,A 43,A 43
A 44,A 44,,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,A 44,,A 44,,A 44,A 44,,,A 44,,A 44,A 44,,,A 44,,A 44,A 44,,,A 44,,A 44,A 44,,,A 44,A 44,,,A 44,A 44,,A 44,A 44,A 44
